code,level,description,full_description,duty_cd,parent,chapter,heading,tariff_version
6208,heading,"Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negliges, bathrobes, dressing gowns and similar articles","Women's or girls' singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negliges, bathrobes, dressing gowns and similar articles",,62,62,6208,FY2026-27
6208.1100,tariff_line,- - Of man-made fibres,Slips and petticoats > Of man-made fibres,20,6208,62,6208,FY2026-27
6208.1900,tariff_line,- - Of other textile materials,Slips and petticoats > Of other textile materials,20,6208,62,6208,FY2026-27
6208.2100,tariff_line,- - Of cotton,Nightdresses and pyjamas > Of cotton,20,6208,62,6208,FY2026-27
6208.2200,tariff_line,- - Of man-made fibres,Nightdresses and pyjamas > Of man-made fibres,20,6208,62,6208,FY2026-27
6208.2900,tariff_line,- - Of other textile materials,Nightdresses and pyjamas > Of other textile materials,20,6208,62,6208,FY2026-27
6208.9100,tariff_line,- - Of cotton,Other > Of cotton,20,6208,62,6208,FY2026-27
6208.9200,tariff_line,- - Of man-made fibres,Other > Of man-made fibres,20,6208,62,6208,FY2026-27
6208.9900,tariff_line,- - Of other textile materials,Other > Of other textile materials,20,6208,62,6208,FY2026-27
6209,heading,Babies' garments and clothing accessories,Babies' garments and clothing accessories,,62,62,6209,FY2026-27
6209.2010,tariff_line,- - - Babies' garments not knitted or crocheted,Of cotton > Babies' garments not knitted or crocheted,20,6209,62,6209,FY2026-27
6209.2020,tariff_line,- - - Babies' clothing accessories,Of cotton > Babies' clothing accessories,20,6209,62,6209,FY2026-27
6209.3000,tariff_line,- Of synthetic fibres,Of synthetic fibres,20,6209,62,6209,FY2026-27
6209.9010,tariff_line,- - - Babies' garments,Of other textile materials > Babies' garments,20,6209,62,6209,FY2026-27
6209.9090,tariff_line,- - - Other,Of other textile materials > Other,20,6209,62,6209,FY2026-27
6210,heading,"Garments made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07","Garments made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 59.07",,62,62,6210,FY2026-27
6210.1000,tariff_line,- Of fabrics of heading 56.02 or 56.03,Of fabrics of heading 56.02 or 56.03,20,6210,62,6210,FY2026-27
6210.2000,tariff_line,"- Other garments, of the type described in subheading","Other garments, of the type described in subheading",62.01,6210,62,6210,FY2026-27
6210.3000,tariff_line,"- Other garments, of the type described in subheading","Other garments, of the type described in subheading",62.02,6210,62,6210,FY2026-27
6210.4000,tariff_line,- Other men's or boys' garments,Other men's or boys' garments,20,6210,62,6210,FY2026-27
6210.5000,tariff_line,- Other women's or girls' garments,Other women's or girls' garments,20,6210,62,6210,FY2026-27
6211,heading,"Track suits, ski suits and swimwear; other garments","Track suits, ski suits and swimwear; other garments",,62,62,6211,FY2026-27
6211.1100,tariff_line,- - Men's or boys',Swimwear > Men's or boys',20,6211,62,6211,FY2026-27
6211.1200,tariff_line,- - Women's or girls',Swimwear > Women's or girls',20,6211,62,6211,FY2026-27
6211.2000,tariff_line,- Ski suits,Ski suits,20,6211,62,6211,FY2026-27
6211.3200,tariff_line,- - Of cotton,"Other garments, men's or boys' > Of cotton",20,6211,62,6211,FY2026-27
6211.3300,tariff_line,- - Of man-made fibres,"Other garments, men's or boys' > Of man-made fibres",20,6211,62,6211,FY2026-27
6211.3900,tariff_line,- - Of other textile materials,"Other garments, men's or boys' > Of other textile materials",20,6211,62,6211,FY2026-27
6211.4200,tariff_line,- - Of cotton,"Other garments, women's or girls' > Of cotton",20,6211,62,6211,FY2026-27
6211.4300,tariff_line,- - Of man-made fibres,"Other garments, women's or girls' > Of man-made fibres",20,6211,62,6211,FY2026-27
6211.4900,tariff_line,- - Of other textile materials,"Other garments, women's or girls' > Of other textile materials",20,6211,62,6211,FY2026-27
6212,heading,"Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted","Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted",,62,62,6212,FY2026-27
6212.1000,tariff_line,- Brassieres,Brassieres,20,6212,62,6212,FY2026-27
6212.2000,tariff_line,- Girdles and panty-girdles,Girdles and panty-girdles,20,6212,62,6212,FY2026-27
6212.3000,tariff_line,- Corselettes,Corselettes,20,6212,62,6212,FY2026-27
6212.9000,tariff_line,- Other,Other,20,6212,62,6212,FY2026-27
6213,heading,Handkerchiefs,Handkerchiefs,,62,62,6213,FY2026-27
6213.2000,tariff_line,- Of cotton,Of cotton,20,6213,62,6213,FY2026-27
6213.9000,tariff_line,- Of other textile materials,Of other textile materials,20,6213,62,6213,FY2026-27
6214,heading,"Shawls, scarves, mufflers, mantillas, veils and the like","Shawls, scarves, mufflers, mantillas, veils and the like",,62,62,6214,FY2026-27
6214.1000,tariff_line,- Of silk or silk waste,Of silk or silk waste,20,6214,62,6214,FY2026-27
6214.2000,tariff_line,- Of wool or fine animal hair,Of wool or fine animal hair,20,6214,62,6214,FY2026-27
6214.3000,tariff_line,- Of synthetic fibres,Of synthetic fibres,20,6214,62,6214,FY2026-27
6214.4000,tariff_line,- Of artificial fibres,Of artificial fibres,20,6214,62,6214,FY2026-27
6214.9010,tariff_line,- - - Shawls,Of other textile materials > Shawls,20,6214,62,6214,FY2026-27
6214.9020,tariff_line,- - - Scarves,Of other textile materials > Scarves,20,6214,62,6214,FY2026-27
6214.9030,tariff_line,- - - Dupatta,Of other textile materials > Dupatta,20,6214,62,6214,FY2026-27
6214.9040,tariff_line,- - - Veils (burqa),Of other textile materials > Veils (burqa),20,6214,62,6214,FY2026-27
6214.9090,tariff_line,- - - Other,Of other textile materials > Other,20,6214,62,6214,FY2026-27
6215,heading,"Ties, bow ties and cravats","Ties, bow ties and cravats",,62,62,6215,FY2026-27
6215.1000,tariff_line,- Of silk or silk waste,Of silk or silk waste,20,6215,62,6215,FY2026-27
6215.2000,tariff_line,- of man-made fibres,of man-made fibres,20,6215,62,6215,FY2026-27
6215.9000,tariff_line,- Of other textile materials,Of other textile materials,20,6215,62,6215,FY2026-27
6216,heading,"Gloves, mittens and mitts","Gloves, mittens and mitts",,62,62,6216,FY2026-27
6216.0010,tariff_line,- - - Gloves,Gloves,20,6216,62,6216,FY2026-27
6216.0020,tariff_line,- - - Mittens and mitts,Mittens and mitts,20,6216,62,6216,FY2026-27
6217,heading,"Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12","Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12",,62,62,6217,FY2026-27
6217.1000,tariff_line,- Accessories,Accessories,0,6217,62,6217,FY2026-27
6217.9000,tariff_line,- Parts,Parts,0,6217,62,6217,FY2026-27
